event_type_count,online_theta,algorithm,event_count,target_pattern_count,pattern_count,within_tolerance,mining_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path,absolute_pattern_count_difference,relative_pattern_count_difference,tolerance_patterns,spatial_radius,temporal_window,threshold,attempt_count,attempts_path
15,0.1,online_stsp,500,28,28,True,2.228082625,2.228082625,0.0002620000000010947,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_000500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_000500_metadata.json,,,,,,,,
15,0.1,sts_miner,500,28,28,True,0.025471833000011657,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_000500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_000500_metadata.json,0.0,0.0,3.0,250.0,15.0,128.0,9.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_000500_attempts.csv
15,0.1,stbfm,500,28,27,True,0.023140958000027467,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_000500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_000500_metadata.json,1.0,0.03571428571428571,3.0,250.0,15.0,0.015625,8.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_000500_attempts.csv
15,0.1,online_stsp,1000,4628,4628,True,2.011336667,4.239419292,0.11592062499999933,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_001000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_001000_metadata.json,,,,,,,,
15,0.1,sts_miner,1000,4628,4596,True,0.6540386669999521,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_001000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_001000_metadata.json,32.0,0.006914433880726016,463.0,500.0,120.0,56.0,89.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_001000_attempts.csv
15,0.1,stbfm,1000,4628,4288,True,0.17233862500000896,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_001000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_001000_metadata.json,340.0,0.07346585998271392,463.0,500.0,120.0,0.015625,88.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_001000_attempts.csv
15,0.1,online_stsp,1500,1449,1449,True,2.1126284999999996,6.352047792,0.017591459000000143,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_001500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_001500_metadata.json,,,,,,,,
15,0.1,sts_miner,1500,1449,1323,True,0.497059457999967,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_001500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_001500_metadata.json,126.0,0.08695652173913043,145.0,250.0,240.0,96.0,49.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_001500_attempts.csv
15,0.1,stbfm,1500,1449,1553,True,0.2639187080000056,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_001500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_001500_metadata.json,104.0,0.07177363699102829,145.0,500.0,120.0,0.01953125,90.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_001500_attempts.csv
15,0.1,online_stsp,2000,3015,3015,True,2.531336249999999,8.883384042,0.03414312499999994,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_002000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_002000_metadata.json,,,,,,,,
15,0.1,sts_miner,2000,3015,3009,True,0.6700061669999968,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_002000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_002000_metadata.json,6.0,0.001990049751243781,302.0,500.0,60.0,32.0,77.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_002000_attempts.csv
15,0.1,stbfm,2000,3015,3138,True,0.17334108300002526,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_002000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_002000_metadata.json,123.0,0.04079601990049751,302.0,500.0,60.0,0.00390625,80.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_002000_attempts.csv
15,0.1,online_stsp,2500,16,16,True,2.2119261250000015,11.095310167000001,0.0008110000000023376,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_002500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_002500_metadata.json,,,,,,,,
15,0.1,sts_miner,2500,16,15,True,0.11956608299999516,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_002500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_002500_metadata.json,1.0,0.0625,2.0,250.0,15.0,768.0,12.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_002500_attempts.csv
15,0.1,stbfm,2500,16,16,True,0.11952495799999951,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_002500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_002500_metadata.json,0.0,0.0,2.0,250.0,15.0,0.015625,8.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_002500_attempts.csv
15,0.1,online_stsp,3000,161,161,True,2.132580000000001,13.227890167000002,0.0015481250000028979,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_003000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_003000_metadata.json,,,,,,,,
15,0.1,sts_miner,3000,161,160,True,0.23020258300005025,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_003000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_003000_metadata.json,1.0,0.006211180124223602,17.0,250.0,30.0,1.0,13.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_003000_attempts.csv
15,0.1,stbfm,3000,161,160,True,0.16464041599999746,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_003000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_003000_metadata.json,1.0,0.006211180124223602,17.0,250.0,30.0,0.0,20.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_003000_attempts.csv
15,0.1,online_stsp,3500,779,779,True,2.1829157499999994,15.410805917000001,0.008023708000003182,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_003500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_003500_metadata.json,,,,,,,,
15,0.1,sts_miner,3500,779,734,True,0.7050601669999992,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_003500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_003500_metadata.json,45.0,0.057766367137355584,78.0,250.0,120.0,80.0,40.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_003500_attempts.csv
15,0.1,stbfm,3500,779,749,True,0.1950649999999996,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_003500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_003500_metadata.json,30.0,0.038510911424903725,78.0,500.0,30.0,0.00390625,70.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_003500_attempts.csv
15,0.1,online_stsp,4000,39,39,True,2.3921777079999984,17.802983625,0.0004806249999980139,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_004000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_004000_metadata.json,,,,,,,,
15,0.1,sts_miner,4000,39,36,True,0.2005834589999722,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_004000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_004000_metadata.json,3.0,0.07692307692307693,4.0,250.0,15.0,384.0,11.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_004000_attempts.csv
15,0.1,stbfm,4000,39,40,True,0.1983186669999668,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_004000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_004000_metadata.json,1.0,0.02564102564102564,4.0,250.0,15.0,0.0078125,9.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_004000_attempts.csv
15,0.1,online_stsp,4500,3612,3612,True,2.4926312090000025,20.295614834000002,0.044971290999999525,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_004500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_004500_metadata.json,,,,,,,,
15,0.1,sts_miner,4500,3612,3588,True,2.3074586669999917,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_004500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_004500_metadata.json,24.0,0.006644518272425249,362.0,250.0,240.0,32.0,47.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_004500_attempts.csv
15,0.1,stbfm,4500,3612,3944,True,0.6551464590000364,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_004500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_004500_metadata.json,332.0,0.09191583610188261,362.0,250.0,240.0,0.0,50.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_004500_attempts.csv
15,0.1,online_stsp,5000,760,760,True,2.3102238749999984,22.605838709,0.010454125000002534,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_005000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_005000_metadata.json,,,,,,,,
15,0.1,sts_miner,5000,760,715,True,0.9061142919999838,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_005000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_005000_metadata.json,45.0,0.05921052631578947,76.0,250.0,120.0,112.0,40.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_005000_attempts.csv
15,0.1,stbfm,5000,760,745,True,0.3656071659999611,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_005000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_005000_metadata.json,15.0,0.019736842105263157,76.0,500.0,60.0,0.0078125,79.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_005000_attempts.csv
15,0.1,online_stsp,5500,566,566,True,2.698725833000001,25.304564542,0.004990166999995438,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_005500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_005500_metadata.json,,,,,,,,
15,0.1,sts_miner,5500,566,551,True,0.7958499999999731,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_005500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_005500_metadata.json,15.0,0.026501766784452298,57.0,250.0,60.0,48.0,28.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_005500_attempts.csv
15,0.1,stbfm,5500,566,584,True,0.30367591600008836,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_005500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_005500_metadata.json,18.0,0.03180212014134275,57.0,500.0,15.0,0.0,60.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_005500_attempts.csv
15,0.1,online_stsp,6000,594,594,True,2.2353046249999977,27.539869167,0.007222542000000942,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_006000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_006000_metadata.json,,,,,,,,
15,0.1,sts_miner,6000,594,583,True,0.906018916999983,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_006000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_006000_metadata.json,11.0,0.018518518518518517,60.0,250.0,60.0,48.0,28.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_006000_attempts.csv
15,0.1,stbfm,6000,594,580,True,0.8481305000000248,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_006000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_006000_metadata.json,14.0,0.02356902356902357,60.0,250.0,240.0,0.0078125,49.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_006000_attempts.csv
15,0.1,online_stsp,6500,719,719,True,2.262367625000003,29.802236792000002,0.008804665999996075,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_006500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_006500_metadata.json,,,,,,,,
15,0.1,sts_miner,6500,719,728,True,1.1406743750000032,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_006500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_006500_metadata.json,9.0,0.012517385257301807,72.0,250.0,60.0,32.0,28.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_006500_attempts.csv
15,0.1,stbfm,6500,719,783,True,0.44974683399993864,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_006500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_006500_metadata.json,64.0,0.0890125173852573,72.0,250.0,60.0,0.0,30.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_006500_attempts.csv
15,0.1,online_stsp,7000,1771,1771,True,2.2668474999999972,32.069084292,0.021678041999997788,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_007000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_007000_metadata.json,,,,,,,,
15,0.1,sts_miner,7000,1771,1739,True,2.341813583999965,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_007000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_007000_metadata.json,32.0,0.018068887634105024,178.0,250.0,120.0,64.0,39.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_007000_attempts.csv
15,0.1,stbfm,7000,1771,1603,True,0.9205784580000227,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_007000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_007000_metadata.json,168.0,0.09486166007905138,178.0,500.0,120.0,0.01171875,90.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_007000_attempts.csv
15,0.1,online_stsp,7500,3242,3242,True,2.4463449170000047,34.515429209000004,0.041977374999994765,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_007500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_007500_metadata.json,,,,,,,,
15,0.1,sts_miner,7500,3242,3534,True,3.4384387079999215,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_007500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_007500_metadata.json,292.0,0.09006785934608266,325.0,250.0,240.0,80.0,50.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_007500_attempts.csv
15,0.1,stbfm,7500,3242,3135,True,0.4808169169999701,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_007500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_007500_metadata.json,107.0,0.03300431832202344,325.0,500.0,30.0,0.0,70.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_007500_attempts.csv
15,0.1,online_stsp,8000,303,303,True,1.8250068329999962,36.340436042,0.0033943749999991724,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_008000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_008000_metadata.json,,,,,,,,
15,0.1,sts_miner,8000,303,297,True,0.844536334000054,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_008000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_008000_metadata.json,6.0,0.019801980198019802,31.0,250.0,30.0,64.0,18.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_008000_attempts.csv
15,0.1,stbfm,8000,303,314,True,1.174645541000018,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_008000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_008000_metadata.json,11.0,0.036303630363036306,31.0,250.0,240.0,0.01171875,50.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_008000_attempts.csv
15,0.1,online_stsp,8500,4685,4685,True,2.637481667000003,38.977917709,0.10528649999999828,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_008500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_008500_metadata.json,,,,,,,,
15,0.1,sts_miner,8500,4685,4776,True,4.815947499999993,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_008500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_008500_metadata.json,91.0,0.019423692636072572,469.0,250.0,240.0,56.0,49.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_008500_attempts.csv
15,0.1,stbfm,8500,4685,5033,True,1.9641105000000607,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_008500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_008500_metadata.json,348.0,0.07427961579509071,469.0,500.0,240.0,0.015625,98.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_008500_attempts.csv
15,0.1,online_stsp,9000,629,629,True,1.881526375,40.859444084,0.008293874999999673,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_009000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_009000_metadata.json,,,,,,,,
15,0.1,sts_miner,9000,629,601,True,1.6312402089999978,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_009000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_009000_metadata.json,28.0,0.04451510333863275,63.0,250.0,60.0,96.0,29.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_009000_attempts.csv
15,0.1,stbfm,9000,629,635,True,0.6247247500000412,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_009000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_009000_metadata.json,6.0,0.009538950715421303,63.0,1000.0,30.0,0.0234375,119.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_009000_attempts.csv
15,0.1,online_stsp,9500,28393,28393,True,2.655912624999999,43.515356709,0.5229012080000004,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_009500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_009500_metadata.json,,,,,,,,
15,0.1,sts_miner,9500,28393,28036,True,14.469335292000096,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_009500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_009500_metadata.json,357.0,0.012573521642658401,2840.0,500.0,120.0,24.0,87.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_009500_attempts.csv
15,0.1,stbfm,9500,28393,29571,True,2.9781340829999863,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_009500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_009500_metadata.json,1178.0,0.04148909942591484,2840.0,500.0,240.0,0.00390625,100.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_009500_attempts.csv
15,0.1,online_stsp,10000,4264,4264,True,2.7228002079999953,46.238156917,0.060995458000000724,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_010000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_010000_metadata.json,,,,,,,,
15,0.1,sts_miner,10000,4264,4105,True,5.760361124999918,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_010000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_010000_metadata.json,159.0,0.037288930581613505,427.0,250.0,240.0,72.0,51.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_010000_attempts.csv
15,0.1,stbfm,10000,4264,4482,True,2.277845500000012,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_010000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_010000_metadata.json,218.0,0.05112570356472795,427.0,500.0,240.0,0.015625,98.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_010000_attempts.csv
15,0.1,online_stsp,10500,66,66,True,2.25645875,48.494615667,0.0015576660000036213,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_010500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_010500_metadata.json,,,,,,,,
15,0.1,sts_miner,10500,66,64,True,0.5957602909998059,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_010500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_010500_metadata.json,2.0,0.030303030303030304,7.0,250.0,15.0,288.0,13.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_010500_attempts.csv
15,0.1,stbfm,10500,66,64,True,0.7525141250000615,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_010500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_010500_metadata.json,2.0,0.030303030303030304,7.0,250.0,60.0,0.015625,28.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/stbfm/stbfm_010500_attempts.csv
15,0.1,online_stsp,11000,6992,6992,True,2.324595708000004,50.819211375,0.10016350000000074,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_011000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/online/online_snapshot_011000_metadata.json,,,,,,,,
15,0.1,sts_miner,11000,6992,6697,True,7.841811875000076,,,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_011000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_011000_metadata.json,295.0,0.042191075514874145,700.0,250.0,240.0,48.0,48.0,Results/Quantitative_experiment/run_20260521_144433/event_types_15/theta_0_10/sts_miner/sts_miner_011000_attempts.csv
